Tile,Aerial 2012 GeoTIFF,Aerial 2012 MrSID,Aerial 2016 GeoTIFF,Aerial 2016 MrSID3,Aerial 2016 MrSID4,DEM 2016,Point cloud 2016 (las),Aerial 2019 GeoTIFF,Aerial 2023 GeoTIFF,Aerial 2023 MrSID3,Aerial 2023 MrSID4,DEM 2023,Point cloud 2023 (laz)
930645_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930645.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930645.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930645_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930645_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930645_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930645_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930645_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930645_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930645_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930645_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930645_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930645_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930645_ne.zip
930645_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930645.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930645.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930645_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930645_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930645_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930645_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930645_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930645_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930645_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930645_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930645_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930645_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930645_se.zip
930650_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930650.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930650.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930650_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930650_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930650_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930650_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930650_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930650_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930650_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930650_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930650_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930650_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930650_ne.zip
930650_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930650.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930650.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930650_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930650_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930650_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930650_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930650_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930650_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930650_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930650_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930650_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930650_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930650_se.zip
930655_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930655.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930655.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930655_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930655_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930655_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930655_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930655_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930655_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930655_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930655_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930655_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930655_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930655_ne.zip
930655_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930655.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930655.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930655_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930655_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930655_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930655_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930655_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930655_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930655_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930655_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930655_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930655_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930655_se.zip
930660_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930660.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930660.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930660_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930660_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930660_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930660_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930660_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930660_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930660_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930660_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930660_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930660_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930660_ne.zip
930660_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930660.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930660.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930660_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930660_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930660_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930660_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930660_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930660_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930660_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930660_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930660_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930660_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930660_se.zip
930665_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930665.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930665.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930665_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930665_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930665_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930665_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930665_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930665_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930665_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930665_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930665_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930665_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930665_se.zip
930670_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930670.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930670.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930670_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930670_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930670_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930670_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930670_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930670_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930670_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930670_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930670_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930670_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930670_ne.zip
